
Too Fast messages are printed when the interpolated speeds exceed
the following:
     Trains/Subway - 41 mph
     Express Buses - 41 mph
     Ferries       - 15 mph
     All others    - 30 mph

Route ID, Stop Group, TimePoints (sequence), time, distance, speed
   1021: B    29K-E-W-1    59- 68   hrs=0.0667 mi= 2.855 mph=42.8
   1022: B    29K-E-W-2    17- 31   hrs=0.1000 mi= 3.843 mph=38.4
   1027: B    29N-E-S-1     1- 15   hrs=0.1500 mi= 4.861 mph=32.4
   1028: B    29N-E-S-2     1- 15   hrs=0.1500 mi= 4.861 mph=32.4
   1032: B    29N-W-S-1    32- 41   hrs=0.0667 mi= 2.413 mph=36.2
   1025: B    29N-E-W-1    43- 52   hrs=0.0667 mi= 2.847 mph=42.7
   1034: X    29X-S-W-1     1-  6   hrs=0.4000 mi=14.815 mph=37.0
  32048: B     2A-W-U-1     1- 16   hrs=0.0667 mi= 2.071 mph=31.1
  32052: B     2B-E-S-1     1-  4   hrs=0.0500 mi= 1.931 mph=38.6
  32053: B     2B-E-S-2     1- 16   hrs=0.1333 mi= 4.229 mph=31.7
  32059: B     2B-W-S-1    65- 80   hrs=0.1167 mi= 4.031 mph=34.5
  32050: B     2B-E-W-1    12- 27   hrs=0.1333 mi= 4.229 mph=31.7
  32056: B     2B-W-W-1    80- 90   hrs=0.1000 mi= 3.030 mph=30.3
  32058: B     2B-W-W-3    80- 90   hrs=0.0667 mi= 3.030 mph=45.4
  32062: B     2C-E-S-1     8- 13   hrs=0.0833 mi= 4.001 mph=48.0
  32063: B     2C-E-U-1     8- 13   hrs=0.0500 mi= 4.001 mph=80.0
  32061: B     2C-E-W-1     8- 13   hrs=0.0667 mi= 4.001 mph=60.0
  32070: B     2G-W-W-1    92- 99   hrs=0.0667 mi= 4.025 mph=60.4
   2071: B     2T-S-S-1    52- 60   hrs=0.0500 mi= 1.640 mph=32.8
   2072: B     2T-S-U-1     1- 15   hrs=0.1000 mi= 3.245 mph=32.5
  15723: B     32-W-S-1    16- 25   hrs=0.0667 mi= 2.875 mph=43.1
  15724: B     32-W-U-1    16- 25   hrs=0.0667 mi= 2.875 mph=43.1
  15716: B     32-W-W-1    16- 25   hrs=0.0833 mi= 2.875 mph=34.5
   1656: B     34-W-S-1     9- 18   hrs=0.0667 mi= 2.875 mph=43.1
   1658: B     34-W-U-1     9- 18   hrs=0.0833 mi= 2.875 mph=34.5
   1660: B     34-W-W-1     9- 18   hrs=0.0833 mi= 2.875 mph=34.5
  15739: B     3T-E-W-1    10- 23   hrs=0.0500 mi= 2.446 mph=48.9
  15741: B     3T-W-W-1     7- 20   hrs=0.0333 mi= 1.599 mph=48.0
  15745: B     4A-E-W-1    30- 41   hrs=0.0500 mi= 3.968 mph=79.4
  15746: B     4A-W-W-1    21- 26   hrs=0.0167 mi= 0.600 mph=36.0
  32072: B     4B-E-S-1     7- 14   hrs=0.0667 mi= 2.004 mph=30.1
  32076: B     4B-W-S-1    25- 35   hrs=0.0667 mi= 2.234 mph=33.5
  32073: B     4B-E-U-1     7- 14   hrs=0.0667 mi= 2.004 mph=30.1
  32077: B     4B-W-U-1    35- 43   hrs=0.0667 mi= 2.023 mph=30.3
  32075: B     4B-W-W-1    15- 25   hrs=0.0500 mi= 1.592 mph=31.8
  15755: B     4H-E-S-1    14- 18   hrs=0.0167 mi= 0.613 mph=36.8
